Applicant_ID,Age,Gender,Employment_Type,Annual_Income,Credit_Score,Existing_Loans,Loan_Amount,Loan_Purpose,Eligibility,Approval_Probability
APP00029,45,Female,Self-Employed,257362,806,0,56659,Business,1,0.9497
APP00030,47,Female,Business Owner,222008,567,4,609162,Medical,1,0.6421
APP00031,62,Female,Salaried,166488,564,1,314661,Business,1,0.7098
APP00032,48,Female,Salaried,159484,544,0,660906,Business,1,0.7249
APP00033,36,Female,Salaried,49406,589,0,610173,Home,1,0.5074
APP00034,35,Female,Unemployed,10109,700,3,580638,Education,0,0.3687
APP00035,64,Male,Business Owner,234097,635,4,788539,Business,1,0.6177
APP00036,23,Male,Freelancer,183058,612,4,955778,Home,1,0.5634
APP00037,57,Male,Freelancer,225919,763,1,317157,Vehicle,1,0.8453
APP00038,27,Female,Salaried,35794,722,1,771563,Home,1,0.5779
APP00039,41,Female,Salaried,224542,543,0,49913,Medical,1,0.8392
APP00040,29,Male,Salaried,172478,758,4,1293813,Home,1,0.6443
APP00041,59,Female,Salaried,271969,720,4,1366539,Medical,1,0.9443
APP00042,38,Male,Salaried,66708,722,1,92168,Vehicle,1,0.7346
APP00043,24,Female,Self-Employed,199469,634,2,1413400,Home,1,0.6431
APP00044,45,Male,Salaried,148313,665,0,1030131,Vehicle,1,0.7856
APP00045,34,Male,Salaried,261668,522,4,1415512,Home,1,0.6861
APP00046,29,Male,Salaried,43482,749,3,730270,Education,1,0.557
APP00047,46,Male,Salaried,188543,600,3,406076,Education,1,0.7836
APP00048,22,Male,Unemployed,5185,610,2,59875,Home,0,0.3235
APP00049,40,Male,Business Owner,263697,609,1,155991,Personal,1,0.7634
APP00050,48,Female,Unemployed,3880,824,1,1068162,Home,0,0.3527
APP00051,27,Female,Salaried,164565,626,1,61986,Business,1,0.9213
APP00052,64,Male,Salaried,228299,755,3,1343775,Education,1,0.7557
APP00053,28,Female,Business Owner,56498,678,1,438106,Vehicle,0,0.3963
APP00054,55,Female,Salaried,60825,613,3,466297,Education,0,0.473
APP00055,34,Male,Salaried,30574,599,2,563095,Business,0,0.4044
APP00056,37,Male,Salaried,155698,629,0,1275568,Business,1,0.7171
APP00057,56,Male,Salaried,194251,674,4,1127201,Business,1,0.7708
APP00058,60,Male,Salaried,67782,728,2,328461,Home,1,0.6664
APP00059,24,Female,Salaried,85561,642,3,443194,Business,1,0.6194
APP00060,22,Male,Self-Employed,51751,639,2,1337153,Home,0,0.3855
APP00061,26,Female,Salaried,81572,609,4,1091858,Home,0,0.4956
APP00062,62,Female,Salaried,61069,584,0,774634,Education,1,0.5525
APP00063,24,Male,Business Owner,238262,577,4,140843,Education,1,0.5982
APP00064,49,Female,Salaried,251090,759,3,642621,Vehicle,1,0.8837
APP00065,38,Male,Salaried,283245,637,4,165205,Business,1,0.7401
APP00066,46,Female,Freelancer,206303,644,2,533566,Education,1,0.8311
APP00067,64,Male,Salaried,104468,626,1,584605,Education,1,0.6331
APP00068,54,Female,Salaried,185371,654,2,1186454,Home,1,0.744
APP00069,30,Female,Self-Employed,115715,709,3,1167321,Business,0,0.467
APP00070,56,Male,Salaried,95793,641,0,401374,Vehicle,1,0.6633
APP00071,34,Female,Self-Employed,213206,694,4,600238,Education,1,0.8132
APP00072,51,Female,Business Owner,136672,793,0,593900,Business,1,0.7634
APP00073,35,Female,Salaried,167321,614,3,74873,Vehicle,1,0.6962
APP00074,28,Female,Self-Employed,145902,644,4,752138,Vehicle,1,0.6314
APP00075,34,Female,Self-Employed,46390,731,2,203074,Vehicle,1,0.5422
APP00076,43,Male,Salaried,45369,799,2,980012,Vehicle,1,0.543
APP00077,60,Male,Self-Employed,168953,580,3,503936,Business,1,0.6395
APP00078,41,Female,Salaried,296731,543,4,703739,Home,1,0.7472
APP00079,36,Male,Self-Employed,249872,679,2,1408105,Home,1,0.7977
APP00080,38,Female,Salaried,263634,671,3,918312,Home,1,0.7657
APP00081,44,Female,Self-Employed,72013,736,3,959180,Vehicle,0,0.4584
APP00082,46,Male,Salaried,142341,723,0,884024,Medical,1,0.7467
APP00083,45,Male,Business Owner,219692,677,2,378708,Education,1,0.6844
APP00084,61,Female,Salaried,171826,763,4,1012987,Home,1,0.8456
APP00085,49,Male,Salaried,132584,625,2,1431672,Business,1,0.5572
APP00086,35,Female,Self-Employed,103113,696,2,187182,Medical,1,0.6205
APP00087,21,Male,Business Owner,60282,582,2,1019241,Medical,0,0.303
APP00088,45,Female,Self-Employed,192809,676,3,407968,Vehicle,1,0.6942
APP00089,27,Male,Self-Employed,121651,563,1,488921,Medical,1,0.5989
APP00090,29,Female,Business Owner,271549,590,1,1312871,Home,1,0.6564
APP00091,44,Male,Freelancer,110395,816,0,120282,Home,1,0.7646
APP00092,21,Female,Salaried,36345,534,2,968999,Home,0,0.4209
APP00093,64,Male,Self-Employed,222472,662,1,231538,Business,1,0.8416
APP00094,28,Female,Business Owner,37055,746,0,201958,Home,1,0.5991
APP00095,44,Female,Unemployed,12018,850,3,342703,Vehicle,0,0.3787
APP00096,31,Male,Freelancer,69484,694,2,1269489,Vehicle,0,0.4538
APP00097,37,Male,Salaried,102514,698,4,1467938,Education,1,0.5704
APP00098,28,Male,Salaried,115135,683,3,781393,Medical,1,0.6536
APP00099,55,Female,Self-Employed,213726,764,0,1244491,Home,1,0.778
APP00100,55,Female,Business Owner,239223,714,3,1310338,Education,1,0.7019
APP00101,53,Female,Self-Employed,142399,633,4,611025,Business,1,0.5466
APP00102,25,Male,Self-Employed,205645,769,3,1141022,Home,1,0.7182
APP00103,62,Male,Business Owner,198805,643,0,1147143,Business,1,0.7913
APP00104,59,Female,Salaried,154344,552,4,820068,Medical,1,0.662
APP00105,61,Male,Freelancer,167832,552,4,1403570,Personal,1,0.5408
APP00106,48,Other,Salaried,138226,663,3,192506,Medical,1,0.7693
APP00107,27,Male,Salaried,124250,688,4,1142442,Education,1,0.582
APP00108,29,Female,Self-Employed,207058,756,3,72726,Vehicle,1,0.8011
APP00109,28,Male,Business Owner,190404,731,2,877333,Home,1,0.6654
APP00110,32,Male,Salaried,196172,686,4,675468,Home,1,0.8432
APP00111,54,Female,Salaried,161016,760,3,603184,Home,1,0.6352
APP00112,53,Female,Unemployed,14849,681,2,183625,Education,0,0.3583
APP00113,43,Other,Salaried,38877,576,4,779680,Medical,0,0.4725
APP00114,44,Male,Self-Employed,154065,559,2,1372797,Education,0,0.4597
APP00115,57,Male,Self-Employed,133443,782,4,13625,Vehicle,1,0.6881
APP00116,55,Female,Self-Employed,142674,500,0,1096813,Education,1,0.5205
APP00117,64,Female,Self-Employed,140074,663,0,11223,Vehicle,1,0.7135
APP00118,60,Male,Salaried,276881,850,3,200375,Personal,1,0.9683
APP00119,42,Male,Self-Employed,56629,716,1,75197,Home,1,0.5865
APP00120,47,Male,Salaried,179030,663,0,1295062,Vehicle,1,0.6813
APP00121,55,Female,Self-Employed,190279,545,1,1395413,Education,1,0.5771
APP00122,21,Male,Salaried,287199,809,2,1358480,Home,1,0.9157
APP00123,55,Male,Self-Employed,274084,777,2,1447912,Vehicle,1,0.7677
APP00124,57,Male,Salaried,113697,734,1,1349744,Medical,1,0.7402
APP00125,34,Male,Salaried,188945,679,3,819634,Home,1,0.8602
APP00126,23,Male,Salaried,126505,725,4,915846,Home,1,0.6089
APP00127,21,Male,Salaried,222277,668,1,1110100,Home,1,0.9519
APP00128,25,Male,Business Owner,181390,602,1,1487859,Business,1,0.624
APP00129,46,Female,Salaried,58734,756,1,412576,Business,1,0.5631
APP00130,34,Male,Freelancer,238299,675,1,370372,Vehicle,1,0.7498
APP00131,59,Female,Unemployed,10367,721,1,1163331,Vehicle,0,0.2796
APP00132,47,Female,Self-Employed,167728,670,3,288137,Medical,1,0.7586
APP00133,29,Female,Salaried,171965,716,0,847991,Business,1,0.9085
APP00134,35,Female,Salaried,120872,678,4,293392,Medical,1,0.6185
APP00135,35,Male,Business Owner,194524,672,0,1497644,Medical,1,0.6916
APP00136,46,Male,Salaried,169338,682,1,932531,Vehicle,1,0.7826
APP00137,62,Female,Salaried,141603,850,0,1324980,Vehicle,1,0.724
APP00138,33,Other,Self-Employed,41940,744,3,19012,Medical,0,0.4111
APP00139,52,Female,Business Owner,180075,850,2,1084399,Personal,1,0.7209
APP00140,59,Female,Business Owner,152880,679,0,1105603,Home,1,0.6344
APP00141,52,Female,Salaried,123408,655,4,1267815,Home,1,0.5554
APP00142,24,Male,Self-Employed,186941,594,3,355938,Personal,1,0.6855
APP00143,50,Male,Salaried,74297,808,2,821531,Home,1,0.6756
APP00144,57,Female,Salaried,85107,607,3,833424,Medical,1,0.5024
APP00145,43,Female,Freelancer,44622,824,1,916374,Education,0,0.4947
APP00146,59,Male,Salaried,164909,598,2,1024416,Home,1,0.7377
APP00147,35,Female,Salaried,171479,750,4,1200625,Home,1,0.7412
APP00148,63,Male,Salaried,185381,552,2,983738,Home,1,0.697
APP00149,49,Female,Freelancer,118190,644,4,712736,Home,1,0.5014
APP00150,56,Male,Business Owner,277356,681,1,1067794,Vehicle,1,0.7773
APP00151,33,Male,Self-Employed,242984,632,4,1342508,Business,1,0.5786
APP00152,52,Female,Business Owner,25370,666,3,1079077,Personal,0,0.4155
APP00153,27,Male,Salaried,287630,666,0,743349,Education,1,0.957
APP00154,42,Female,Self-Employed,51613,744,3,638021,Vehicle,0,0.3876
APP00155,48,Female,Salaried,268876,513,3,287354,Vehicle,1,0.7865
APP00156,22,Female,Salaried,28196,634,2,1187052,Vehicle,0,0.4955
APP00157,62,Male,Self-Employed,251009,780,1,710849,Vehicle,1,0.7784
APP00158,26,Male,Freelancer,33572,724,0,233989,Home,1,0.518
APP00159,48,Male,Salaried,70853,781,4,860153,Home,1,0.556
APP00160,48,Other,Salaried,188347,740,2,498260,Home,1,0.7762
APP00161,64,Female,Salaried,141074,593,1,1494445,Home,1,0.6587
APP00162,64,Female,Salaried,68209,732,0,489894,Business,1,0.591
APP00163,40,Female,Freelancer,119244,688,3,1230598,Home,1,0.5491
APP00164,50,Female,Self-Employed,257067,850,1,206983,Medical,1,0.8314
APP00165,31,Female,Self-Employed,278516,744,1,361477,Personal,1,0.8061
APP00166,48,Male,Business Owner,233472,721,1,1341502,Personal,1,0.8061
APP00167,45,Female,Salaried,125300,733,3,519590,Personal,1,0.7244
APP00168,59,Male,Self-Employed,223033,717,4,1096356,Home,1,0.6241
APP00169,53,Female,Salaried,82175,715,2,958244,Vehicle,1,0.5269
APP00170,21,Female,Self-Employed,126551,658,4,792734,Home,0,0.4831
APP00171,47,Female,Unemployed,3117,722,0,534338,Medical,0,0.4217
APP00172,33,Male,Business Owner,81866,755,2,934094,Medical,1,0.5116
APP00173,61,Male,Salaried,142752,764,0,574493,Medical,1,0.7762
APP00174,23,Male,Business Owner,278564,755,3,1370466,Education,1,0.6606
APP00175,59,Male,Salaried,271592,800,4,678465,Business,1,0.865
APP00176,26,Male,Salaried,40401,769,1,1489291,Home,1,0.5482
APP00177,28,Female,Salaried,240432,730,2,439857,Home,1,0.9848
APP00178,47,Female,Salaried,190486,588,1,1057813,Business,1,0.7724
APP00179,29,Male,Self-Employed,172214,588,0,183104,Education,1,0.8252
APP00180,57,Male,Self-Employed,271200,660,1,310660,Personal,1,0.7233
APP00181,53,Male,Freelancer,235536,683,1,359301,Home,1,0.7065
APP00182,62,Female,Self-Employed,231329,791,3,1453268,Medical,1,0.6557
APP00183,64,Male,Self-Employed,101693,457,3,129558,Vehicle,1,0.5489
APP00184,44,Female,Salaried,60135,597,4,312944,Medical,1,0.5659
APP00185,35,Male,Salaried,161262,664,0,570076,Medical,1,0.7732
APP00186,52,Other,Self-Employed,95199,600,3,1179330,Personal,0,0.4068
APP00187,52,Female,Salaried,29331,616,3,298384,Home,0,0.3792
APP00188,44,Male,Business Owner,208258,640,4,514204,Personal,1,0.5915
APP00189,61,Female,Salaried,237854,604,2,414138,Home,1,0.8622
APP00190,32,Male,Salaried,50761,618,4,860630,Home,0,0.4618
APP00191,59,Female,Salaried,290406,789,1,1379459,Education,1,0.8816
APP00192,22,Male,Salaried,280792,729,1,284233,Medical,1,0.8423
APP00193,23,Female,Salaried,209544,741,3,566888,Vehicle,1,0.9258
APP00194,57,Female,Business Owner,109667,677,3,187248,Medical,1,0.562
APP00195,37,Female,Salaried,29677,760,4,874784,Business,1,0.5041
APP00196,22,Female,Self-Employed,229580,747,4,358109,Home,1,0.6684
APP00197,22,Male,Salaried,155334,727,0,397684,Personal,1,0.8344
APP00198,48,Male,Salaried,85148,627,1,827847,Home,1,0.5805
APP00199,43,Male,Salaried,100271,644,4,1040358,Medical,1,0.5519
APP00200,57,Male,Business Owner,59457,764,2,1130471,Education,0,0.4715
APP00201,52,Female,Salaried,67531,638,0,876332,Vehicle,1,0.5887
APP00202,53,Male,Business Owner,229335,576,4,1117226,Education,1,0.5645
APP00203,21,Other,Salaried,153027,637,3,1059191,Home,1,0.6732
APP00204,39,Female,Business Owner,219243,804,4,710972,Education,1,0.7444
APP00205,22,Female,Salaried,282231,637,3,874369,Home,1,0.8094
APP00206,64,Male,Self-Employed,274301,706,3,532915,Home,1,0.747
APP00207,46,Female,Self-Employed,70771,630,1,1362656,Home,0,0.3819
APP00208,52,Female,Freelancer,118135,741,1,379956,Vehicle,1,0.5918
APP00209,26,Male,Salaried,91354,722,4,1041362,Business,0,0.4436
APP00210,52,Female,Salaried,137743,560,4,340019,Vehicle,1,0.6893
APP00211,24,Female,Salaried,269453,701,2,1120276,Medical,1,0.8721
APP00212,31,Male,Business Owner,58892,545,0,18109,Vehicle,1,0.6003
APP00213,37,Male,Self-Employed,227268,635,0,33758,Business,1,0.8246
APP00214,58,Male,Business Owner,120057,679,4,753987,Business,0,0.4038
APP00215,44,Male,Salaried,63409,827,1,905024,Education,1,0.5643
APP00216,25,Male,Salaried,271889,705,2,547605,Business,1,0.8731
APP00217,54,Male,Salaried,174457,618,0,210073,Home,1,0.8549
APP00218,26,Male,Unemployed,9197,654,4,978927,Medical,0,0.292
APP00219,42,Male,Self-Employed,101675,753,1,1084198,Business,1,0.561
APP00220,31,Female,Freelancer,47419,619,1,518911,Home,0,0.4066
APP00221,36,Female,Salaried,106238,767,1,541088,Business,1,0.7278
APP00222,53,Female,Self-Employed,250825,638,3,243259,Home,1,0.6972
APP00223,29,Male,Self-Employed,195363,606,1,667960,Home,1,0.7665
APP00224,26,Male,Salaried,299541,640,4,1305341,Home,1,0.7366
APP00225,36,Male,Business Owner,60169,550,2,288833,Business,0,0.3633
APP00226,49,Male,Freelancer,87182,506,4,877891,Business,0,0.3206
APP00227,23,Male,Freelancer,184413,673,1,48469,Medical,1,0.7583
APP00228,40,Female,Business Owner,202216,674,2,1313481,Home,1,0.7324
APP00229,56,Male,Salaried,104360,700,0,856444,Vehicle,1,0.6696
APP00230,39,Female,Salaried,38444,673,0,1118597,Business,1,0.5255
APP00231,46,Female,Unemployed,6799,850,4,191854,Home,0,0.3178
APP00232,23,Male,Salaried,270488,693,2,478735,Vehicle,1,0.9025
APP00233,39,Male,Business Owner,123843,569,4,1290555,Home,0,0.4075
APP00234,40,Female,Business Owner,298118,590,2,1399723,Home,1,0.6725
APP00235,52,Male,Self-Employed,137150,680,2,534493,Vehicle,1,0.7003
APP00236,27,Male,Unemployed,9139,645,4,889377,Business,0,0.3247
APP00237,61,Other,Salaried,119826,581,2,1071018,Home,1,0.501
APP00238,53,Male,Salaried,250121,675,1,933195,Home,1,0.7605
APP00239,60,Female,Salaried,266435,676,2,48909,Home,1,0.8768
APP00240,59,Other,Salaried,149713,807,2,291648,Home,1,0.767
APP00241,38,Male,Salaried,80612,606,4,1154274,Home,1,0.5229
APP00242,60,Male,Salaried,125474,646,0,966302,Education,1,0.6908
APP00243,21,Male,Business Owner,64710,807,3,714690,Business,0,0.4776
APP00244,31,Male,Freelancer,138096,706,2,97087,Education,1,0.6511
APP00245,48,Male,Salaried,234417,606,3,1268567,Business,1,0.8358
APP00246,45,Female,Salaried,236463,622,2,747392,Business,1,0.9545
APP00247,43,Male,Freelancer,119924,582,4,1100292,Home,0,0.4256
APP00248,51,Male,Salaried,293602,686,4,1264272,Home,1,0.7953
APP00249,50,Other,Salaried,162925,762,2,188054,Medical,1,0.8465
APP00250,62,Female,Salaried,43320,810,4,1217092,Home,1,0.5055
APP00251,55,Female,Self-Employed,119154,561,4,44571,Home,1,0.5073
APP00252,27,Male,Salaried,77243,749,2,233023,Home,1,0.6154
APP00253,36,Female,Unemployed,4453,693,0,942893,Vehicle,0,0.3353
APP00254,46,Female,Salaried,97833,659,2,749578,Vehicle,1,0.6181
APP00255,22,Male,Self-Employed,118476,646,0,579326,Personal,1,0.5944
APP00256,21,Male,Salaried,139560,526,4,841600,Medical,0,0.4551
APP00257,32,Female,Self-Employed,62941,731,0,743442,Education,1,0.5177
APP00258,25,Male,Self-Employed,50368,574,4,1126266,Education,0,0.33
APP00259,57,Male,Business Owner,228990,620,0,1001806,Home,1,0.807
APP00260,52,Male,Business Owner,282481,713,0,910485,Home,1,0.8139
APP00261,29,Male,Self-Employed,25801,534,2,879733,Home,0,0.2447
APP00262,61,Female,Freelancer,131538,574,0,146974,Home,1,0.5554
APP00263,55,Female,Business Owner,110269,777,4,37050,Home,1,0.5871
APP00264,39,Female,Business Owner,278765,689,2,371949,Home,1,0.7371
APP00265,36,Male,Salaried,116679,627,0,1264234,Education,1,0.6804
APP00266,23,Male,Salaried,181777,690,2,865542,Personal,1,0.7867
APP00267,40,Male,Salaried,216375,733,3,1135269,Vehicle,1,0.8594
APP00268,44,Male,Self-Employed,186792,769,2,312388,Personal,1,0.7075
APP00269,53,Male,Salaried,58351,591,3,1335682,Education,1,0.5191
APP00270,44,Female,Salaried,136023,598,3,241898,Vehicle,1,0.7331
APP00271,31,Male,Freelancer,192217,728,2,372839,Education,1,0.6603
APP00272,28,Female,Freelancer,112948,731,4,782723,Home,1,0.576
APP00273,56,Male,Freelancer,245686,572,4,257943,Home,1,0.6822
APP00274,58,Male,Salaried,244188,601,4,1148964,Personal,1,0.7542
APP00275,60,Male,Self-Employed,286677,664,1,87332,Personal,1,0.753
APP00276,40,Other,Salaried,202476,681,3,718854,Home,1,0.8698
APP00277,55,Female,Salaried,175641,684,2,923818,Home,1,0.7084
APP00278,45,Female,Salaried,150074,571,4,1365757,Education,1,0.6218
APP00279,55,Male,Salaried,285078,683,4,1171242,Home,1,0.8201
APP00280,45,Male,Salaried,79437,622,2,661336,Education,0,0.4928
APP00281,49,Female,Business Owner,181810,586,3,796360,Home,1,0.7251
APP00282,38,Male,Salaried,115410,679,2,355184,Vehicle,1,0.7151
APP00283,38,Female,Business Owner,44731,670,1,695401,Home,0,0.4557
APP00284,22,Male,Self-Employed,166203,744,1,807147,Education,1,0.6319
APP00285,55,Male,Salaried,210169,611,2,1473595,Home,1,0.8552
APP00286,36,Male,Self-Employed,290033,698,3,472122,Education,1,0.684
APP00287,61,Male,Salaried,34569,554,4,1453700,Personal,0,0.4512
APP00288,56,Female,Self-Employed,231749,658,1,914640,Education,1,0.6888
APP00289,53,Male,Salaried,110192,717,1,178147,Medical,1,0.7285
APP00290,24,Male,Salaried,279829,723,3,1254235,Medical,1,0.8519
APP00291,53,Male,Salaried,112154,724,1,325792,Personal,1,0.7975
APP00292,34,Male,Self-Employed,233542,744,1,555422,Business,1,0.7339
APP00293,41,Female,Freelancer,133073,644,3,780545,Business,1,0.6044
APP00294,40,Female,Salaried,244894,719,2,852575,Medical,1,0.9
APP00295,28,Female,Business Owner,294756,829,4,1127699,Home,1,0.6969
APP00296,27,Female,Self-Employed,76644,642,4,498775,Vehicle,0,0.4925
APP00297,23,Male,Freelancer,57069,790,1,186225,Personal,1,0.506
APP00298,37,Female,Business Owner,170006,750,4,1045992,Business,1,0.5927
APP00299,53,Male,Self-Employed,43706,658,2,1280222,Personal,0,0.4205
APP00300,32,Male,Self-Employed,199588,665,1,1212203,Business,1,0.6657
APP00301,42,Female,Freelancer,128602,689,4,1462744,Medical,1,0.5098
APP00302,42,Male,Salaried,149746,745,0,734353,Business,1,0.8199
APP00303,50,Female,Salaried,45431,712,0,477216,Business,1,0.552
APP00304,58,Male,Salaried,212805,642,0,1125262,Vehicle,1,0.8767
APP00305,58,Female,Business Owner,65088,513,0,909273,Personal,0,0.3974
APP00306,28,Female,Business Owner,200207,733,0,566552,Medical,1,0.821
APP00307,47,Female,Salaried,256110,525,1,1295406,Medical,1,0.8247
APP00308,47,Female,Self-Employed,56385,570,3,450769,Business,0,0.3988
APP00309,54,Female,Self-Employed,143104,647,3,195431,Education,1,0.6742
APP00310,41,Male,Salaried,37818,582,1,906317,Home,0,0.4189
APP00311,50,Male,Unemployed,3673,705,1,1199456,Personal,0,0.402
APP00312,53,Male,Salaried,74832,656,2,1110906,Vehicle,0,0.4984
APP00313,48,Female,Salaried,108990,742,3,648960,Home,1,0.585
APP00314,53,Male,Self-Employed,234966,551,0,310489,Home,1,0.7535
APP00315,25,Female,Business Owner,97204,627,1,1116331,Medical,0,0.4388
APP00316,39,Male,Salaried,70784,680,0,864639,Medical,1,0.6257
APP00317,24,Male,Self-Employed,34921,683,3,184811,Medical,0,0.4205
APP00318,55,Female,Self-Employed,280564,735,4,188810,Vehicle,1,0.6567
APP00319,37,Male,Salaried,114506,606,4,901123,Education,1,0.5056
APP00320,64,Male,Salaried,99408,642,1,639425,Education,1,0.5664
APP00321,48,Male,Self-Employed,148852,720,2,1274192,Home,1,0.5681
APP00322,50,Female,Salaried,240838,504,0,895250,Medical,1,0.8245
APP00323,49,Female,Freelancer,51708,710,1,370654,Home,0,0.4658
APP00324,26,Male,Business Owner,43847,741,2,970905,Vehicle,0,0.4014
APP00325,55,Male,Unemployed,12963,573,0,680740,Vehicle,0,0.4204
APP00326,61,Male,Salaried,29922,654,3,290356,Vehicle,0,0.3389
APP00327,57,Female,Unemployed,1081,799,4,1348894,Personal,0,0.4125
APP00328,44,Female,Salaried,175453,732,2,1458653,Home,1,0.7141
APP00329,49,Male,Salaried,47948,715,0,638937,Business,1,0.5624
APP00330,51,Male,Salaried,117264,759,1,585607,Home,1,0.7108
APP00331,55,Male,Salaried,84072,824,0,427579,Home,1,0.8163
APP00332,53,Female,Self-Employed,238321,681,1,1146422,Education,1,0.6736
APP00333,41,Female,Self-Employed,158558,647,4,180372,Home,1,0.6389
APP00334,52,Male,Salaried,91691,759,4,64808,Business,1,0.7031
APP00335,43,Male,Self-Employed,166154,665,0,933447,Vehicle,1,0.6082
APP00336,53,Male,Salaried,32086,605,0,1269753,Home,0,0.4513
APP00337,23,Female,Self-Employed,92853,636,1,576904,Home,1,0.5225
APP00338,38,Male,Salaried,263922,704,1,769103,Vehicle,1,0.829
APP00339,45,Female,Business Owner,73380,644,2,166359,Medical,0,0.49
APP00340,62,Female,Business Owner,294992,650,2,699331,Education,1,0.7195
APP00341,51,Male,Self-Employed,39274,597,2,66152,Vehicle,0,0.4838
APP00342,23,Male,Salaried,285115,794,0,52351,Business,1,0.9571
APP00343,60,Male,Salaried,121494,652,2,237977,Vehicle,1,0.7729
APP00344,44,Female,Business Owner,140981,623,0,1443097,Home,1,0.5181
APP00345,52,Female,Salaried,191305,631,4,70616,Vehicle,1,0.733
APP00346,42,Female,Salaried,41304,744,3,1213545,Vehicle,1,0.6046
APP00347,43,Female,Salaried,298438,725,4,1343730,Business,1,0.758
APP00348,22,Male,Self-Employed,224783,639,0,1209762,Vehicle,1,0.6668
APP00349,47,Female,Self-Employed,135777,682,0,1304885,Personal,1,0.5032
APP00350,62,Female,Business Owner,116549,702,3,293269,Home,1,0.6506
APP00351,22,Male,Salaried,118464,623,1,497310,Personal,1,0.6779
APP00352,46,Other,Salaried,131748,556,1,453612,Vehicle,1,0.6865
APP00353,37,Female,Business Owner,279174,721,1,1234494,Business,1,0.7499
APP00354,60,Female,Business Owner,156074,628,2,423612,Home,1,0.703
APP00355,53,Female,Salaried,278890,715,1,364805,Education,1,0.8931
APP00356,29,Female,Self-Employed,75411,705,2,791444,Business,1,0.5806
APP00357,63,Female,Salaried,283901,684,2,526941,Business,1,0.8652
APP00358,59,Male,Freelancer,120696,645,1,622404,Home,1,0.6462
APP00359,49,Male,Salaried,176779,629,1,129233,Vehicle,1,0.8792
APP00360,62,Female,Freelancer,171320,588,3,1475366,Home,1,0.545
APP00361,46,Male,Self-Employed,96309,630,3,23869,Personal,1,0.5374
APP00362,55,Male,Self-Employed,234394,725,2,469410,Medical,1,0.7887
APP00363,45,Male,Salaried,171109,791,3,596455,Home,1,0.8324
APP00364,44,Male,Self-Employed,92421,780,2,1302334,Medical,0,0.4912
APP00365,33,Female,Salaried,261436,691,0,677482,Personal,1,0.904
APP00366,27,Female,Salaried,38450,791,2,1233475,Education,1,0.6052
APP00367,56,Male,Self-Employed,34491,655,2,261536,Business,0,0.4849
APP00368,40,Male,Unemployed,12392,576,3,555965,Education,0,0.3385
APP00369,21,Male,Self-Employed,99804,833,0,431439,Business,1,0.771
APP00370,28,Female,Business Owner,144498,722,4,433030,Education,1,0.5869
APP00371,36,Female,Salaried,263515,557,4,135662,Education,1,0.8153
APP00372,34,Male,Salaried,221701,804,4,486827,Education,1,0.9215
APP00373,32,Female,Salaried,267223,620,0,446401,Home,1,0.8354
APP00374,43,Female,Self-Employed,34967,637,1,611082,Medical,0,0.3705
APP00375,35,Female,Freelancer,237826,761,0,1023567,Education,1,0.8857
APP00376,48,Female,Self-Employed,230235,788,3,1134251,Education,1,0.682
APP00377,54,Male,Salaried,195491,599,2,50503,Medical,1,0.7713
